journal,decade,total_faces,percent_contains_face
JDG,1820,0,0.0
JDG,1830,1,1.8518518518518516
JDG,1840,1,2.0
JDG,1850,2,4.166666666666666
JDG,1860,4,6.25
JDG,1870,5,4.3478260869565215
JDG,1880,6,10.0
JDG,1890,1,1.9230769230769231
JDG,1900,11,16.666666666666664
JDG,1910,6,8.0
JDG,1920,21,10.0
JDG,1930,32,19.230769230769234
JDG,1940,13,10.869565217391305
JDG,1950,49,25.0
JDG,1960,44,18.67469879518072
JDG,1970,48,22.043010752688172
JDG,1980,143,34.75409836065574
JDG,1990,190,29.009433962264154
