journal,decade,total_faces,percent_contains_face
IMP,1880,1,2.941176470588235
IMP,1890,17,23.52941176470588
IMP,1900,25,25.0
IMP,1910,27,32.69230769230769
IMP,1920,46,45.3125
IMP,1930,31,35.18518518518518
IMP,1940,24,28.57142857142857
IMP,1950,105,50.0
IMP,1960,175,41.66666666666667
IMP,1970,202,41.0
IMP,1980,343,50.476190476190474
IMP,1990,210,47.76119402985074
IMP,2000,657,70.83333333333334
IMP,2010,699,77.6595744680851
